Delta_s,r_non_pub,r_lux_pub,public_share,candidate,EG,sdG,P_G_neg,p05,p95
-0.016,0.480383577467786,0.169633020363934,0.5,file2_vs_file1,0.0160781726500139,0.00621175807053474,0.00475,0.00567024811178137,0.0261950575241617
-0.016,0.480383577467786,0.169633020363934,0.5,exactopt_vs_selected,0.0111395013418477,0.00884566722529082,0.10375,-0.00371228197810481,0.0257118624637593
-0.016,0.480383577467786,0.169633020363934,0.7,file2_vs_file1,0.0160847482560107,0.00675842439922148,0.00825,0.00478156655106991,0.0270895146456231
-0.016,0.480383577467786,0.169633020363934,0.7,exactopt_vs_selected,0.0111479341155797,0.00962815863089751,0.121,-0.00500804027270436,0.0270223480696887
-0.0155,0.476577254334275,0.171357431949281,0.5,file2_vs_file1,0.0155781726500139,0.00621175807053474,0.0055,0.00517024811178136,0.0256950575241617
-0.0155,0.476577254334275,0.171357431949281,0.5,exactopt_vs_selected,0.0102559768189936,0.00845573898241545,0.1125,-0.00394876388571492,0.0241751296671656
-0.0155,0.476577254334275,0.171357431949281,0.7,file2_vs_file1,0.0155847482560107,0.00675842439922148,0.01075,0.00428156655106992,0.0265895146456231
-0.0155,0.476577254334275,0.171357431949281,0.7,exactopt_vs_selected,0.0102640610352486,0.0092036367474398,0.128,-0.00518527413060741,0.0254312291130913
-0.015,0.472770931200764,0.173081843534629,0.5,file2_vs_file1,0.0150781726500139,0.00621175807053475,0.00725,0.00467024811178137,0.0251950575241617
-0.015,0.472770931200764,0.173081843534629,0.5,exactopt_vs_selected,0.00940918351752846,0.00806637496223448,0.1195,-0.00415589202849754,0.0226847052672259
-0.015,0.472770931200764,0.173081843534629,0.7,file2_vs_file1,0.0150847482560107,0.00675842439922148,0.01375,0.00378156655106992,0.0260895146456231
-0.015,0.472770931200764,0.173081843534629,0.7,exactopt_vs_selected,0.00941691754170191,0.00877973841134215,0.14,-0.00532624519290994,0.023877608270487
