r_non,r_lux,dl,dn,du,G_w85,G_w100,dl_w85,dn_w85,du_w85,dl_w100,dn_w100,du_w100
0.2775,0.261547127283041,0.286695779365069,-0.106441557888253,0.153114307793542,0.00384385830761602,0.00392415763053022,0.286695779365069,-0.106441557888253,0.153114307793542,0.33390965388247,-0.125633155152779,0.179216781731398
0.28,0.260414530597958,0.28080166792113,-0.094204162852737,0.153114307793542,0.00350129313698411,0.00357426258669291,0.28080166792113,-0.094204162852737,0.153114307793542,0.327101170913448,-0.111144860113659,0.179216781731398
0.2825,0.259281933912876,0.274893679415472,-0.0820183451751036,0.153114307793542,0.00317493833919613,0.00324094603212599,0.274893679415472,-0.0820183451751036,0.153114307793542,0.320274743091964,-0.0967297939580288,0.179216781731398
0.285,0.258149337227793,0.268971693146613,-0.0698831665245225,0.153114307793542,0.0028647548185583,0.00292416555901887,0.268971693146613,-0.0698831665245225,0.153114307793542,0.313430189421976,-0.0823863878091908,0.179216781731398
0.2875,0.25701674054271,0.263035587109313,-0.0577977073014516,0.153114307793542,0.00257070467473286,0.00262388010979142,0.263035587109313,-0.0577977073014516,0.153114307793542,0.306567326687721,-0.0681131100297419,0.179216781731398
0.29,0.255884143857627,0.257085237974289,-0.0457610660753538,0.153114307793542,0.00229275118084782,0.00234004995033166,0.257085237974289,-0.0457610660753538,0.153114307793542,0.299685969413584,-0.0539084649013204,0.179216781731398
0.2925,0.254751547172544,0.251120521067538,-0.0337723590424067,0.153114307793542,0.00203085876239995,0.00207263664427126,0.251120521067538,-0.0337723590424067,0.153114307793542,0.292785929823596,-0.0397709913598708,0.179216781731398
0.295,0.253618950487461,0.245141310349265,-0.0218307195023363,0.153114307793542,0.0017849929769217,0.00182160302825896,0.245141310349265,-0.0218307195023363,0.153114307793542,0.285867017800246,-0.0256992617835752,0.179216781731398
0.2975,0.252486353802378,0.239147478392413,-0.00993529735355271,0.153114307793542,0.00155512049438511,0.00158691318819071,0.239147478392413,-0.00993529735355271,0.153114307793542,0.278929040841159,-0.0116918808307954,0.179216781731398
0.3,0.251353757117295,0.233138896360759,0.00191474139420081,0.153114307793542,0.00134120907831503,0.00136853243636126,0.233138896360759,0.00191474139420081,0.153114307793542,0.271971804017871,0.00225251567451007,0.179216781731398
