s,r_non,r_lux,G_w85,G_w100,G_min_4corners,verdict
1.365,0.431237553936897,0.191898069698369,0.0120333711791765,0.0122890916380713,0.0107063234526529,ADOPT
1.366,0.428318128124667,0.19322068249728,0.0113318414564321,0.0115725134328307,0.0100453280239931,ADOPT
1.367,0.425398702312437,0.194543295296191,0.0106514511908419,0.0108775551597454,0.00940544039589863,ADOPT
1.368,0.422479276500207,0.195865908095102,0.00999218326706441,0.0102041963079679,0.00878664600907664,ADOPT
1.369,0.419559850687978,0.197188520894013,0.00935402190266044,0.00955241784960526,0.00818893163615508,ADOPT
1.37,0.416640424875747,0.198511133692924,0.00873695264730778,0.00892220223728457,0.00761228538204795,ADOPT
1.371,0.413720999063518,0.199833746491834,0.00814096238261397,0.00831353340246432,0.0070566966849176,ADOPT
1.372,0.410801573251287,0.201156359290745,0.0075660393225272,0.00772639675448816,0.00652215631774544,ADOPT
1.373,0.407882147439058,0.202478972089656,0.00701217301435075,0.00716077918038616,0.00600865639051018,ADOPT
1.374,0.404962721626827,0.203801584888567,0.00647935434036129,0.00661666904542291,0.00551619035298068,ADOPT
1.375,0.402043295814598,0.205124197687478,0.0059675755200389,0.0060940561944004,0.00504475299812945,ADOPT
1.376,0.399123870002367,0.206446810486389,0.00547683011290978,0.00559293195371391,0.00459434046616936,ADOPT
1.377,0.396204444190138,0.207769423285299,0.00500711302200951,0.00511328913417197,0.00416495024922714,ADOPT
1.378,0.393285018377908,0.20909203608421,0.00455842049797361,0.0046551220345844,0.00375658119665401,ADOPT
1.379,0.390365592565678,0.210414648883121,0.00413075014376108,0.00421842644612513,0.00336923352099006,ADOPT
1.38,0.387446166753447,0.211737261682032,0.0037241009200194,0.00380319965748133,0.0030029088045781,ADOPT
1.381,0.384526740941218,0.213059874480943,0.00333847315110047,0.00340944046079672,0.00265761000686315,ADOPT
1.382,0.381607315128988,0.214382487279853,0.00297386853173154,0.00303714915841924,0.00233334147235587,ADOPT
1.383,0.378687889316758,0.215705100078764,0.00263029013436722,0.00268632757046783,0.002030108939298,ADOPT
1.384,0.375768463504528,0.217027712877675,0.0023077424172111,0.0023569790432294,0.00174791954903053,ADOPT
1.385,0.372849037692298,0.218350325676586,0.00200623123293719,0.00204910845840101,0.00148678185608264,ADOPT
1.386,0.369929611880068,0.219672938475497,0.00172576383811729,0.00176272224319474,0.00124670583899378,ADOPT
1.387,0.367010186067838,0.220995551274407,0.00146634890336861,0.00149782838131918,0.00102770291188725,ADOPT
1.388,0.364090760255608,0.222318164073318,0.00122799652423733,0.00125443642486034,0.00082978593681271,ADOPT
1.389,0.361171334443378,0.223640776872229,0.00101071823283438,0.00103255750707765,0.000652969236873302,ADOPT
1.39,0.358251908631148,0.22496338967114,0.000814527010240984,0.000832204356140509,0.000497268610158974,ABSTAIN
1.391,0.355332482818918,0.226286002470051,0.000639437299701173,0.000653391309825335,0.000362701344505667,ABSTAIN
